"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
5238,"Hello Neighbor","XOne",2017,"Gearbox Software","Action",0.27,0.11,NA,0.04,0.42
5260,"Hellblade: Senua's Sacrifice","PC",2017,"Ninja Theory","Action-Adventure",NA,NA,NA,NA,NA
5531,"The Lego Ninjago Movie Videogame","NS",2017,"Warner Bros. Interactive Entertainment","Action",0.21,0.15,NA,0.03,0.4
5592,"Just Dance 2018","Wii",2017,"Ubisoft","Music",0.14,0.22,NA,0.03,0.39
5602,"NHL 18","XOne",2017,"EA Sports","Sports",0.32,0.03,NA,0.04,0.39
5632,"The Evil Within 2","XOne",2017,"Bethesda Softworks","Action",0.25,0.1,NA,0.04,0.39
5662,"Little Nightmares","PS4",2017,"Namco Bandai Games","Platform",0.18,0.12,0.02,0.06,0.39
5800,"Minecraft","3DS",2017,"Nintendo","Misc",0.33,NA,NA,0.04,0.37
5904,"Okami HD","PS4",2017,"Capcom","Action",0.16,0.12,0.03,0.06,0.36
5923,"Sniper: Ghost Warrior 3","PS4",2017,"City Interactive","Shooter",0.14,0.15,0.03,0.06,0.36
6077,"Gravity Rush 2","PS4",2017,"Sony Interactive Entertainment","Action-Adventure",0.13,0.05,0.13,0.04,0.35
6078,"Nioh: Complete Edition","PC",2017,"Koei Tecmo","Action",NA,NA,NA,NA,NA
6128,"Marvel vs. Capcom: Infinite","XOne",2017,"Capcom","Fighting",0.26,0.05,NA,0.03,0.34
6188,"Disgaea 5 Complete","NS",2017,"NIS America","Role-Playing",0.15,0.11,0.05,0.02,0.34
6236,"Dishonored: Death of the Outsider","PS4",2017,"Bethesda Softworks","Action",0.1,0.18,NA,0.05,0.33
6249,"The Lego Ninjago Movie Videogame","XOne",2017,"Warner Bros. Interactive Entertainment","Action",0.21,0.09,NA,0.03,0.33
6443,"South Park: The Fractured But Whole","PC",2017,"Ubisoft","Role-Playing",NA,NA,NA,NA,NA
6457,"Spintires: MudRunner","PC",2017,"Focus Home Interactive","Simulation",NA,NA,NA,NA,NA
6469,"F1 2016","PC",2017,"Codemasters","Racing",NA,NA,NA,NA,NA
6470,"NEKOPARA Vol. 2","PC",2017,"Unknown","Visual Novel",NA,NA,NA,NA,NA
6478,"Cars 3: Driven to Win","NS",2017,"Warner Bros. Interactive Entertainment","Racing",0.13,0.14,0.02,0.02,0.32
6602,"Hitman","XOne",2017,"Square Enix","Action",0.2,0.08,NA,0.03,0.31
6621,"Sonic Mania","PS4",2017,"Sega","Platform",0.1,0.15,0.01,0.05,0.31
6694,"Cities: Skylines","PS4",2017,"Koch Media","Simulation",0.15,0.07,0.04,0.05,0.3
6702,"Monopoly for Nintendo Switch","NS",2017,"Ubisoft","Board Game",0.06,0.22,0.01,0.02,0.3
6720,"LEGO City Undercover","XOne",2017,"Warner Bros. Interactive Entertainment","Platform",0.15,0.12,NA,0.03,0.3
6763,"Just Dance 2018","PS4",2017,"Ubisoft","Music",0.1,0.15,NA,0.05,0.3
